plot	genre
Накануне Хэллоуина на Марсе произошла трагедия: было применено неизвестное биологическое оружие, и сотни людей погибли или оказались в больнице. За голову террориста назначили баснословную награду, и команда «охотников за головами» с корабля Bebop 268170 решила взяться за это прибыльное задание.По ходу расследования Спайк Шпигель знакомится с Электрой, которая также ищет жестокого преступника. Его зовут Винсент, раньше они служили вместе, поэтому мотивы Электры не так просты. Фэй Валентайн тоже не осталась в стороне, но она не подозревает, что ей грозит смертельная опасность: Винсент стремится отомстить всем людям, и приближающийся День Всех Святых вполне подходит для этой цели.Фильм «Достучаться до небес» лучше всего смотреть после сериала, но и сам по себе он представляет несомненный интерес: захватывающий сюжет, в котором экшен-сцены перемежаются яркими диалогами, блюзово-джазовый саундтрек Ёко Канно и великолепная прорисовка мира будущего. Поклонники «Ковбоя Бибопа» найдут здесь множество отсылок к сериалу и встретят знакомых второстепенных персонажей. В фильме каждый из главных героев получил возможность проявить себя, однако большая часть времени отведена Спайку, кроме того, его характер великолепно раскрывается в финальной композиции Gotta Knock A Little Harde.	повседневность
В будущем люди успешно заселили планеты Солнечной системы, наполнили свою жизнь сложными технологиями, привыкли летать на космических кораблях – и при этом остались прежними. Никуда не исчезли ни мелкие воришки, ни мафиозные синдикаты, мошенники и шулера, как и раньше, обирают доверчивых бедолаг, а продажа наркотиков остаётся весьма прибыльным бизнесом. В 2017-м году честным людям всё так же трудно удержаться на плаву, а подлость с предательством гораздо престижнее благородства. Таковы законы жанра нуар.Персонажи этого сериала многим покажутся знакомыми, ведь создавались они под впечатлением известных боевиков и гангстерских саг. Главные герои – «охотники за головами», которые по воле случая собрались на корабле Bebop 268170 и скитаются от порта к порту в поисках подходящих заказов. Эту команду прирождённых одиночек трудно назвать семьёй или даже друзьями, но что-то держит их вместе – может быть, надежда на удачу?..Культовый сериал Синъитиро Ватанабэ давно уже признан классикой. Среди достоинств это всемирно известного аниме – увлекательный детективно-приключенческий сюжет, где соединилась ирония и блюзовая грусть, великолепный саундтрек, отличный ансамбль сэйю и, разумеется, главные герои: бывший полицейский Джет Блэк, прекрасная картёжница Фэй Валентайн, юная хакерша Эд, Айн, самая умная собака на свете, и Спайк Шпигель – «космический ковбой» с тёмным прошлым и привычкой всегда рисковать...	повседневность
"В будущем Земля окутана столь вредоносным токсичным смогом, что население вынуждено носить газовые маски. Кроме того, очень тяжела криминальная обстановка - каждые 36 секунд совершается насильственное преступление. Наибольшую опасность для общества составляют сексапильные, но безжалостные леди-кошки близнецы Анна и Юни Пума из неуловимой банды Бауку, пытающиеся выкрасть из госпиталя образцы мочи незаражённых токсичной атмосферой людей. Злоумышленницы нейтрализуют стражей порядка умопомрачительным стриптизом, что позволяет им улизнуть без проблем. Против опасных преступников требуются экстренные меры, и в действие вступает подразделение танковой полиции под командованием Брентона, куда и зачислена новобранка Леона Одзаки, став членом экипажа танка-малютки ""Бонапарт"". Леоне и её напарнику Алу придётся вести бескомпромиссную войну с высокотехнологичным терроризмом в лице главаря банды Буаку и его подручных сестричек Пума. Зло никогда не было столь сексуально!"	приключения
"Прошло 15 лет после загадочной глобальной катастрофы, поставившей человечество на грань выживания. Но оставшихся в живых впереди ждут еще более страшные испытания... Землю атакуют ""Ангелы"", загадочные гигантские существа, появившиеся неизвестно откуда. Единственное оружие на планете, способное им противостоять - роботы серии ""Евангелион"", созданные при помощи передовых биотехнологий. Правда, сражаться с помощью этих огромных машин способны только те пилоты, которые могут полностью ""синхронизировать"" себя с роботом и управлять ""Евангелионом"" как собственным телом. Эти уникальные бойцы обучаются и живут в секретном подземном городе Токио-3, штаб-квартире организации ""NERV"", возглавляющей защиту Земли от вторжения. Синдзи, Аска и Рей - пилоты, между которыми складываются крайне непростые отношения. Но именно от них зависит судьба планеты и разгадка тайны зловещих ""Ангелов""..."	драма
"В недалеком 2029 году сети и компьютеры развились до того, что появилась возможность создавать высокотехнологичных киборгов с полной интеграцией в Сеть. Главная героиня Кусанаги Мотоко - киборг, с человеческим разумом внутри кибернетического тела, майор Девятого отдела, созданного для спецопераций правительства. В Сети объявляется некий Кукловод, манипулирующий людьми через ту же Сеть, заставляя их действовать в его интересах. Его поимкой и занимается Девятый отдел. Но не все так просто, Кукловод оказывается разумным вирусом, разработанным ""коллегами"" из Шестого отдела для промышленного шпионажа и т.д., в деле оказывается замешана политика..."	драма
В будущем грань между дигитальным и физическим мирами заметно стёрлась, кибертроника изменила жизнь человечества до неузнаваемости, создав новый синтетический уровень существования и сведя людей в единую Сеть. Однако сближение живых организмов и машин оказалось чревато опаснейшими последствиями, предоставив злоумышленникам невиданные доселе возможности манипулирования человеческим сознанием. Для предотвращения подобных технопреступлений и был создан Девятый Отдел. Это элитное подразделение полиции сканирует как физический, так и кибернетический миры для выявления вредоносной деятельности хакеров, кибер-террористов и взбесившихся машин. В случае необходимости на поимку преступников отправляется оперативная группа профессионалов, каждый из членов которой наделён особыми качествами. Бато, человек, начинённый электроникой, обладает стальными глазами и мощными бицепсами из титаниума. Детектив Тогуса, человек без каких-либо кибер-добавок, обогащает команду своей иррациональной интуицией. Ведёт группу неотразимая Матоко Кусанаги, киборг с сознанием, близким к Божественному откровению. Когда в действии такая блестящая группа, прикрываемая в политической сфере шефом Девятого Отдела Арамаки и снабжённая впечатляющей военной технологией, мир может спать спокойно.	фантастика
Эта история начинается с падения – сквозь облака, из ниоткуда в никуда, и непонятно, сон это или воспоминание... Главная героиня просыпается и видит девушек с крыльями пепельного цвета и нимбами. Она не знает, кто она, и что с ней было раньше, и помнит только падение, поэтому получает имя «Ракка» – «Падающая». Имена других девушек тоже обозначают видение, которое они пережили перед тем, как родились – вернее, вышли из кокона, выросшего в Старом Доме.В городе Гли рядом с обычными людьми живут Серокрылые, обязанные выполнять свод строгих правил. Главное правило: не приближаться к Стене, окружающей город. Ракка получает нимб и учится обращаться с крыльями. Каждый день она открывает для себя что-то новое в этом мире – и постоянно сталкивается с загадками существования Серокрылых. Зачем им крылья, если они не умеют летать? Почему им запрещено носить новую одежду и пользоваться деньгами? Куда они уходят, и с чем связан их уход? Не меньшей тайной являются её соседки, особенно грубоватая Рэки, помогающая Ракке освоиться в Старом Доме. Возможно, для понимания Серокрылых следует забыть о сложных вопросах бытия и сосредоточиться на каждодневных делах, разобраться в себе и стать опорой для того, кто нуждается в сочувствии и поддержке...«Союз Серокрылых» – один из самых загадочных и многозначных сериалов. Его символика и смысловое наполнение позволяет каждому зрителю найти своё собственное объяснение.	драма
Юная Виктория Серас была бойцом спецназа, пока однажды её подразделение не отправили в деревушку, где сначала начали исчезать люди, а потом пропал целый отряд полиции. Товарищи Виктории тоже погибли, да и сама девушка не избежала смерти, но при этом не умерла – просто стала вампиром по воле Алукарда из тайной организации «Хеллсинг».Уже много лет «Хеллсинг» защищает Великобританию от тёмных сил. Во главе этой организации стоит Интегра Хеллсинг, под её началом действует отряд опытных натренированных бойцов, и даже пожилой дворецкий Уолтер способен справиться с дюжиной зомби за раз. Но главное средство против монстров – могущественный древний вампир Алукард.Странная эпидемия начала распространяться по стране: люди становились вампирами не после укуса, но по другой, неестественной, причине. Виктория и Алукард приступают к расследованию, но, как оказалось, их противники – это не только упыри. Цель этих таинственных безжалостных врагов – Королевские Протестантские Рыцари, леди Интегра и сам Алукард...Хотя первая экранизация знаменитой манги Хирано Кота отступает от оригинала, она остаётся одним из лучших образцов стильного мистического боевика.	драма
"На одном из заданий спецназовец Фусэ из элитного ""Бронеотряда Церберы"" невольно становится причиной гибели юной террористки. Девушка взрывает себя у него на глазах. А вскоре он, казалось бы, случайно знакомится с её старшей сестрой, и у них начинается роман... Роман, похожий на страшную сказку о Красной Шапочке, старинную книгу с которой дарит Фусе его новая подруга. И с каждой прочитанной страницей мир вокруг них начинает меняться и рушиться. Водоворот событий - обман и неотличимая от обмана правда, предательство и политические интриги, сны и галлюцинации, хищники и жертвы - все вместе выплескивается в трагический финал, лишний раз доказывающий, что наиболее опасное из всех животных - человек."	драма
Десятилетняя Нацуми – обычная жизнерадостная школьница: беспечная, энергичная, не прочь подраться и/или слинять с доп.занятий... Вернее, Нацуми была обычной школьницей – до того, как ее легкомысленный папаша подарил дочке странный артефакт, вывезенный из гвинейских раскопок: загадочную статую с изумрудными инкрустациями, которые девочка приспособила в качестве серег. Вместе с сережками Нацуми получила загадочную силу бога Ахема, которая должна помочь удержать разрушительную мощь злого демона Онго. Правда, для обретения этой силы приходится плясать на редкость непристойный танец... но настоящие японо-гвинейские махо-сёдзё готовы на всё, лишь бы спасти гибнущий мир!	фантастика
По правилам жизни ведьм, каждая из них, достигнув возраста 13-ти лет, должна найти город, где нет нечистой силы, и прожить в нем ровно год. Молодая ведьма (язык не поворачивается назвать её девочкой - ведьма всё-таки) Кики и ее котенок Дзидзи находят такой приморский городок, где и знакомится с добрым пекарем, который помогает ей начать собственное дело - Экстренную Службу Доставки. Работа знакомит Кики с множеством различных людей, предоставляя возможность обрести новых друзей и совершить массу всевозможных проделок.	драма
Альтернативная реальность, напоминающая викторианскую Европу начала бурного развития научно-технического прогресса. Юный Падзу, подмастерье инженера, отвечающего за исправную работу подъёмника шахты, случайно знакомится с загадочной девочкой с косичкой, буквально упавшей с неба прямо ему в объятия. Оказывется, за незнакомкой гонятся по пятам воздушные пираты, армия и правительственные агенты, пытаясь заполучить хранящийся у неё Летающий Камень, который является ключом к мифическому летающему острову, некогда принадлежащему давно погибшей древней цивилизации. Так начинаются увлекательные приключения двух детей, в ходе которых они открывают тайну Небесного замка Лапуты...	фантастика
Клаус и Лави выросли вместе и привыкли делить на двоих любую беду, кусок хлеба и любовь к небу. После того, как их отцы-пилоты погибли, выполняя важное задание, Клаус и Лави научились летать на старом кораблике-ваншипе – и сами стали курьерами. Но ваншип был для них не просто средством заработать на жизнь: юные пилоты мечтали победить в знаменитой гонке на Кубок Норикии. Они и представить не могли, что однажды сыграют важную роль в многолетнем противостоянии могущественной Гильдии и таинственного Алекса Роу, капитана непобедимого корабля «Сильвана»...Мир Престала, где разворачивается действие сериала, состоит из двух планет, между которыми пролегает мощное воздушное течение Грандстрим. Государства двух планет ведут затяжную войну за ресурсы: жители пустынного Анатоля испытывают постоянную нехватку воды, жители ледяного Дизита изнемогают от безжалостной зимы. А над всеми ними стоит Гильдия, для которой война – это всего лишь шахматы. Гильдии принадлежит не только право судить, кто победил в том или ином сражении, – она также контролирует все клавдиевые установки, без которых большим боевым кораблям никогда не подняться в небо.В этом мире много несправедливостей, причину которых предстоит разгадать главным героям. Почему Гильдия охотится за маленькой девочкой Аль? Кто передал «Сильвану» Алексу Роу? Ради чего отцы Клауса и Лави пожертвовали жизнями? Что находится за Небесами?	драма
"Знаменитый аферист века Люпен Третий лихо проворачивает грандиозную кражу на миллионы долларов, после чего узнаёт, что оказавшаяся в его руках добыча - так называемые ""козьи деньги"", искуснейшая подделка, сфабрикованная в карликовом европейском княжестве Калиостро, правители которого многие века промышляли производством разнообразных фальшивых купюр. Не привыкший проигрывать Люпен направляется в замок князей Калиостро, но поиск денег отходит на второй план, когда он встречает очаровательную княжну Клариссу, принуждаемую жестоким графом Калиостро выйти за него замуж. С верными друзьями метким стрелком Дзигэном и отважным самураем Гоэмоном (а также неотразимой и неприступной красоткой Фудзико на хвосте) Люпену Третьему предстоит раскрыть тайну плутовского княжества и спасти девушку. К несчастью граф Калиостро со своей армией убийц и неугомонный инспектор Интерпола Дзэнигата с отборным отрядом японской полиции имеют на Люпена свои планы..."	драма
Многомиллионная армия роботов заменила людей на заводах и фабриках. Миром правят могущественные главы планетарных суперкорпораций. На этом фоне разворачивается история девочки-киборга, созданной гениальным ученым и обладающей точным сходством с умершей дочерью деспотичного правителя Метрополиса. Ей было предназначено стать ключом к власти над всем миром. Но в один роковой день она таинственно исчезает... По ее следу пускается опытный детектив и его сын...	фантастика
Десятилетиями Тиёко Фудзивара была выдающейся актрисой, снимавшейся в фильмах различных жанров. Однажды ее высокогорную виллу посетили продюсер и хроникер, работающие над историей жизни и карьеры Тиёко. Они принесли с собой маленький старый ключик, открывший многие тайны ее воспоминаний...	драма
Фильм состоит из серии коротких историй, посвящённых повседневной жизни семьи Ямада. Бабушка, мама, папа, сын и дочка – самые обыкновенные люди, с узнаваемыми чертами и привычками. Несмотря на то, что в фильме отражены многие японские реалии, начиная с еды и заканчивая сказками, эти сюжеты понятны любому зрителю.Комедийные ситуации перемежаются примерами житейской мудрости, бытовые сценки сменяются фантазиями, что-то происходит в первый раз, что-то повторяется изо дня в день. Здесь нет морали и нравоучений, жизнь показана такой, какая она есть – череда будней, в которых можно увидеть особое очарование и глубину.Дизайн персонажей выполнен в подчёркнуто минималистской манере с мягкой акварельной заливкой, что не совсем обычно для большинства произведений Ghibli, но анимация сохраняет традиционно высокий для этой студии уровень. Кроме того, в фильме реализованы многие интересные художественные приёмы, как, например, стихотворные вставки с хайку Басё или смена дизайна в некоторых моментах.«Семью Ямада» можно смело назвать шедевром аниме, неподвластным ни времени, ни моде, и в характерах главных героев каждый может увидеть своих соседей – или себя.	романтика
